"","X1","committee_name","contributor_occupation","college"
"9156",9156,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9157",9157,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9158",9158,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9159",9159,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9160",9160,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9161",9161,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9162",9162,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9163",9163,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9164",9164,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9165",9165,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9166",9166,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9167",9167,"ACTBLUE","ACCOMPANIST","CornellU"
"9168",9168,"ACTBLUE","PROFESSOR","CornellU"
"9169",9169,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9170",9170,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9171",9171,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9172",9172,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9173",9173,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9174",9174,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9175",9175,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9176",9176,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9177",9177,"ACTBLUE","PROFESSOR","CornellU"
"9178",9178,"ACTBLUE","PROFESSOR","CornellU"
"9179",9179,"ACTBLUE","PROFESSOR","CornellU"
"9180",9180,"ACTBLUE","PROFESSOR","CornellU"
"9181",9181,"ACTBLUE","PROFESSOR","CornellU"
"9182",9182,"ACTBLUE","PROFESSOR","AdelphiU"
"9183",9183,"ACTBLUE","PROFESSOR","CornellU"
"9184",9184,"ACTBLUE","ASSISTANT PROFESSOR","HamiltonC"
"9185",9185,"ACTBLUE","COLLEGE PROFESSOR","SUNYGeneseo"
"9186",9186,"ACTBLUE","COLLEGE PROFESSOR","SUNYGeneseo"
"9187",9187,"ACTBLUE","PROFESSOR","HamiltonC"
"9188",9188,"ACTBLUE","EDUCATOR","CornellU"
"9189",9189,"ACTBLUE","FUND-RAISER","CornellU"
"9190",9190,"ACTBLUE","SYSTEMS ADMINISTRATOR","CornellU"
"9191",9191,"ACTBLUE","PROFESSOR","CornellU"
"9192",9192,"ACTBLUE","PROFESSOR","CornellU"
"9193",9193,"ACTBLUE","CURATOR","CornellU"
"9194",9194,"ACTBLUE","VETERINARIAN","CornellU"
"9195",9195,"ACTBLUE","MEDIA","HamiltonC"
"9196",9196,"ACTBLUE","MEDIA","HamiltonC"
"9197",9197,"ACTBLUE","PROFESSOR","CornellU"
"9198",9198,"ACTBLUE","ARCHIVIST","HamiltonC"
"9199",9199,"ACTBLUE","PROFESSOR","CornellU"
"9200",9200,"ACTBLUE","PROFESSOR OF ART","SUNYGeneseo"
"9201",9201,"ACTBLUE","TECHNICIAN","HamiltonC"
"9202",9202,"NATIONAL COMMITTEE FOR AN EFFECTIVE CONGRESS","PUBLISHING","CornellU"
"9203",9203,"ACTBLUE","COLLEGE PROFESSOR","RPI"
"9204",9204,"ACTBLUE","LIBRARY ASSISTANT","CornellU"
"9205",9205,"ACTBLUE","PROFESSOR","CornellU"
