"","X1","committee_name","contributor_occupation","college"
"8561",8561,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8562",8562,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8563",8563,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8564",8564,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8565",8565,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8566",8566,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8567",8567,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8568",8568,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8569",8569,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8570",8570,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8571",8571,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8572",8572,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8573",8573,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8574",8574,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8575",8575,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8576",8576,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8577",8577,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8578",8578,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8579",8579,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8580",8580,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8581",8581,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8582",8582,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8583",8583,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
